,category,id,price
0,Битумные материалы,С-000180635,76.49
1,Битумные материалы,С-000090842,94.37
2,Битумные материалы,С-000055492,141.97
3,Битумные материалы,С-000119729,155.85
4,Битумные материалы,С-000119731,179.58
5,Битумные материалы,С-000055494,94.34
6,Битумные материалы,С-000055495,69.73
7,Битумные материалы,С-000074377,105.39
8,Битумные материалы,С-000074374,114.72
9,Битумные материалы,С-000086502,321.84
10,Битумные материалы,С-000072826,554.66
11,Битумные материалы,С-000117417,410.37
12,Битумные материалы,С-000085865,357.87
13,Битумные материалы,С-000080174,821.88
14,Битумные материалы,С-000091726,62.83
15,Битумные материалы,С-000117408,547.02
16,Битумные материалы,С-000117409,94.25
17,Битумные материалы,С-000117410,110.55
18,Битумные материалы,С-000117411,200.63
19,Битумные материалы,С-000090843,128.52
20,Битумные материалы,С-000060630,180.69
21,Битумные материалы,С-000159114,227.48
22,Битумные материалы,С-000060628,208.2
23,Битумные материалы,С-000060627,211.7
24,Битумные материалы,С-000060626,240.19
25,Битумные материалы,С-000060632,359.86
26,Битумные материалы,С-000060631,359.86
27,Битумные материалы,С-000060633,383.2
28,Битумные материалы,С-000055662,1401.23
29,Битумные материалы,С-000078903,1415.98
30,Битумные материалы,С-000078902,1445.49
31,Битумные материалы,С-000166228,2042.33
32,Битумные материалы,С-000265116,1401.23
33,Битумные материалы,С-000091717,664.3
34,Битумные материалы,С-000091718,587.8
35,Битумные материалы,С-000091719,663.1
36,Битумные материалы,С-000091720,745.3
37,Битумные материалы,С-000096190,790.9
38,Битумные материалы,С-000096191,678.2
39,Битумные материалы,С-000157097,599.9
40,Битумные материалы,С-000227729,673.9
41,Битумные материалы,С-000035786,673.9
42,Битумные материалы,С-000091057,417.1
43,Битумные материалы,С-000076236,483.2
44,Битумные материалы,С-000039960,678.2
45,Битумные материалы,С-000039958,790.9
46,Битумные материалы,С-000076237,557.2
47,Битумные материалы,С-000058377,883.3
48,Битумные материалы,С-000039446,587.8
49,Битумные материалы,С-000038571,664.3
50,Битумные материалы,С-000040711,941.5
51,Битумные материалы,С-000049071,745.3
52,Битумные материалы,С-000039924,663.1
53,Битумные материалы,С-000035785,599.9
54,Битумные материалы,С-000088017,210.7
55,Битумные материалы,С-000053675,221.1
56,Битумные материалы,С-000055154,200.9
57,Битумные материалы,С-000223834,344.6
58,Битумные материалы,С-000227725,292.2
59,Битумные материалы,С-000051529,734.8
60,Битумные материалы,С-000079436,406.3
61,Битумные материалы,С-000052382,552.1
62,Битумные материалы,С-000010460,471.4
63,Вентилируемые фасады,С-000204717,1.4
64,Вентилируемые фасады,С-000204716,3.32
65,Вентилируемые фасады,С-000204714,3.5
