,code,sick
0,RU-MOW,33656
1,RU-SPE,24878
2,RU-MOS,9377
3,RU-NIZ,3242
4,RU-SVE,2775
5,RU-ROS,2736
6,RU-VOR,2729
7,RU-KYA,2237
8,RU-ARK,1908
9,RU-KHM,1495
10,RU-IRK,1858
11,RU-ULY,1832
12,RU-MUR,1734
13,RU-KHA,2301
14,RU-VGG,1828
15,RU-SAR,1850
16,RU-CHE,2101
17,RU-STA,1709
18,RU-ALT,1453
19,RU-SAM,2074
20,RU-PER,2167
21,RU-YAN,1107
22,RU-KO,1702
23,RU-OMS,1787
24,RU-PRI,1631
25,RU-ORE,1251
26,RU-KR,2217
27,RU-ZAB,1668
28,RU-KDA,1306
29,RU-NVS,1031
30,RU-PNZ,1402
31,RU-KIR,1632
32,RU-SA,963
33,RU-CR,1747
34,RU-BU,1091
35,RU-KEM,929
36,RU-VLG,2201
37,RU-LEN,1529
38,RU-TOM,1062
39,RU-PSK,1721
40,RU-BRY,1400
41,RU-DA,1108
42,RU-TYU,1098
43,RU-TUL,1423
44,RU-TVE,1603
45,RU-YAR,1330
46,RU-BEL,1323
47,RU-ORL,1212
48,RU-IVA,1295
49,RU-KLU,1169
50,RU-KRS,1216
51,RU-UD,1507
52,RU-BA,1178
53,RU-AST,1206
54,RU-NGR,1394
55,RU-VLA,1201
56,RU-KGD,1479
57,RU-RYA,937
58,RU-TAM,1119
59,RU-SMO,1113
60,RU-KK,689
61,RU-LIP,1167
62,RU-CU,709
63,RU-SAK,1003
64,RU-AMU,916
65,RU-KB,697
66,RU-KC,602
67,RU-KOS,532
68,RU-KL,662
69,RU-TY,154
70,RU-MO,607
71,RU-GA,303
72,RU-TT,623
73,RU-KGN,750
74,RU-SE,591
75,RU-IN,468
76,RU-AD,550
77,RU-KAM,523
78,RU-ME,351
79,RU-CE,729
80,RU-SEV,612
81,RU-MAG,242
82,RU-YEV,105
83,RU-NEN,21
84,RU-CHU,11
